,MW,SLogP,nHBDon,nHBAcc,TopoPSA,nRot,naRing,QED
2116,389.0818710520004,5.521520000000003,1,3,59.3,4,4,0.4672195496095238
2117,468.2525262640009,4.663280000000004,1,4,76.44,5,2,0.6923004658267434
2118,454.23687620000084,4.2731800000000035,1,4,76.44,4,2,0.7484666380605202
2120,522.0958047760005,8.144300000000003,2,4,75.36,6,5,0.23523418105316357
2121,476.2587545160009,4.634120000000005,1,4,65.54,4,2,0.6986677419633545
2122,566.2020011600009,3.5138000000000025,1,8,96.61,6,3,0.48762705869378786
2123,424.0437692040003,5.272720000000002,2,4,92.43,4,3,0.5946457825907172
2124,444.04885458400037,5.626900000000003,1,4,72.19,4,4,0.4141569241280552
2125,443.05360561600037,6.231900000000003,1,3,59.3,4,4,0.380140782438591
2127,463.1775027520008,4.273840000000003,1,7,85.94999999999999,6,4,0.4591562702022564
2128,491.2644879160009,2.4527399999999995,1,8,104.96000000000001,5,3,0.584524568259247
2130,442.23687620000084,4.354280000000004,1,4,76.44,4,2,0.7635881584777318
2131,483.09389840800054,4.6277000000000035,1,4,80.85,7,2,0.5834347923019966
2132,465.1174909760005,5.5027000000000035,2,3,66.4,7,2,0.5308796417538146
2133,458.26817632800095,4.495020000000004,1,4,65.54,4,2,0.7329681555915875
2134,552.0589901200003,5.655000000000003,2,5,117.92,7,3,0.223598344294862
2135,492.0499974560003,5.909900000000003,1,5,81.42,4,4,0.35814311788984166
2136,630.1832377880008,5.799100000000005,1,6,78.79,6,3,0.347190221417603
2137,442.23687620000084,4.132280000000003,1,4,76.44,4,2,0.7724046664301634
2139,431.1845062800007,3.7536000000000023,1,5,80.76,6,3,0.6429325400701863
2141,423.04289870000036,6.174920000000004,1,3,59.3,4,4,0.39851323418094603
2142,427.01782682400034,6.005600000000003,1,3,59.3,4,4,0.40553016788976926
2144,503.2256577960008,3.368640000000002,1,7,95.73,6,3,0.5543658630271959
2145,440.2212261360008,5.118980000000005,1,4,78.13,4,3,0.6116542890309493
2148,486.22670544000084,3.7459000000000024,1,6,84.0,6,3,0.5715197648890258
2149,476.9493039320003,7.173300000000002,1,3,59.3,4,4,0.31593113479231505
2150,614.1631710400009,5.497600000000005,1,8,89.18999999999998,6,4,0.28713513390005674
2151,476.2587545160009,4.634120000000005,1,4,65.54,4,2,0.6986677419633545
2152,416.1006198760005,4.291700000000003,1,4,67.02,4,3,0.6893831920604994
2153,572.1970580120008,4.882640000000004,1,7,101.72000000000001,6,3,0.4227769929112926
2154,465.2991421080011,4.294500000000004,1,4,61.88,5,1,0.7045876340373796
2156,469.0782483440005,3.973600000000003,2,4,91.85,6,2,0.6275586955240842
2157,416.2212261360008,3.644980000000002,1,4,76.44,5,2,0.8073045134793359
2158,439.0378133200004,5.875100000000004,1,4,68.53,5,4,0.3940773435543971
2160,485.1225763560005,6.376200000000004,2,2,49.33,6,3,0.3985700601249768
2161,472.0801547120004,6.991100000000004,2,4,75.36,6,4,0.3160545796918231
2162,401.0908637160005,3.257100000000001,2,4,91.85,6,2,0.7784060080530851
2163,517.0199257360005,5.536620000000002,1,7,88.66,4,4,0.38177667175288266
2164,505.1851766120007,7.494000000000006,2,2,49.33,7,2,0.38317102256985897
2167,613.1679220720008,6.102600000000003,1,7,76.3,6,4,0.2649165786572781
2169,463.26957329600094,3.0722400000000016,1,7,95.73,6,3,0.6036511481833461
2170,572.241499976001,4.354940000000004,1,10,107.00999999999998,7,5,0.3065865942335669
2171,445.98948322400037,4.945300000000003,1,5,97.63999999999999,4,4,0.4785675015384142
2172,462.03943277200034,5.766000000000003,1,4,72.19,4,4,0.3087268785597429
2173,613.1679220720008,6.102600000000003,1,7,76.3,6,4,0.2649165786572781
2174,407.07244924000037,5.660620000000003,1,3,59.3,4,4,0.4438478193115359
2175,486.1178253240005,5.568300000000003,3,3,75.35000000000001,5,3,0.32625568616566586
2177,475.26957329600094,3.2163400000000015,1,7,95.73,5,3,0.6088419345522689
2178,423.1462026240007,3.6297600000000028,1,7,85.94999999999999,4,4,0.5390726220769875
2179,445.0084050120003,6.144700000000003,1,3,59.3,4,4,0.3831347123842368
2180,565.0793912160004,5.533400000000004,2,5,101.08,7,3,0.2903522013711898
2182,461.1950709640007,3.7622000000000027,1,6,89.99000000000001,7,3,0.5762924889434645
2184,571.2130424240007,4.157040000000003,1,7,95.73,6,3,0.44695826071827727
2185,526.0997120600005,3.6083000000000016,3,5,120.95,7,2,0.47759670728196996
2186,470.26817632800095,4.909280000000004,1,4,76.44,4,2,0.6889200327154281
2187,477.07866085600034,6.085900000000003,2,2,49.33,5,2,0.5128394073090643
2189,515.1535737480007,4.3553400000000035,1,8,95.17999999999999,7,4,0.3906129416118377
2190,584.1415768720008,3.7494000000000023,4,6,141.17999999999998,9,2,0.3321967139147688
2192,524.2102801000009,4.255240000000004,1,8,89.18999999999998,6,4,0.4029793688614515
2193,475.26957329600094,3.2163400000000015,1,7,95.73,5,3,0.6088419345522689
2194,500.07506933200045,6.560200000000004,2,4,92.43,6,4,0.31258453707505945
2195,477.01463326400034,6.8853000000000035,1,3,59.3,4,4,0.3253831200249909
2196,576.2227366040009,5.039140000000005,1,8,81.23,6,4,0.3463902928929705
2198,377.08634971600037,4.837900000000003,1,3,59.3,4,4,0.5180030727517589
2199,468.2525262640009,4.663280000000004,1,4,76.44,4,2,0.7079264088368207
2200,461.04418380400034,6.371000000000002,1,3,59.3,4,4,0.28356999852921483
2201,479.0347619920003,6.510100000000002,1,3,59.3,4,4,0.26799972414222045
2203,532.0691608800005,5.6184800000000035,2,4,98.57,6,3,0.40366424044060517
2206,317.1276601000004,3.4691600000000022,0,6,91.43,4,3,0.7343886568543164
2207,345.1398645960006,3.7848000000000033,1,3,71.62,6,2,0.8663038947059092
2208,562.0666976800005,3.0214000000000016,3,6,146.39999999999998,8,2,0.42452900796932513
2209,407.07244924000037,5.660620000000003,1,3,59.3,4,4,0.4438478193115359
2210,566.227153288001,5.375520000000005,1,7,72.64,6,3,0.4321328854652806
2213,472.0801547120004,6.991100000000004,2,4,75.36,6,4,0.3160545796918231
2215,574.207086540001,5.095640000000005,1,8,89.18999999999998,6,4,0.3428099175952042
2216,456.2525262640009,4.520780000000004,1,4,76.44,4,2,0.733884393486183
2217,445.0084050120003,6.144700000000003,1,3,59.3,4,4,0.3831347123842368
2219,408.06769820800037,5.055620000000003,1,4,72.19,4,4,0.479157354192504
2220,483.26342529600095,5.054980000000005,2,4,88.47,4,2,0.6366252004987004
2221,461.1950709640007,3.7622000000000027,1,6,89.99000000000001,7,3,0.5762924889434645
2222,656.0367083000008,6.860400000000005,2,8,187.00000000000003,10,3,0.24436677087431108
2224,438.18558957600067,5.142000000000005,0,5,79.53,2,3,0.5533485252779666
2225,440.2012396400007,5.221900000000006,0,5,79.53,2,3,0.5456796378471227
2226,404.1637112600006,4.7586800000000045,0,5,79.53,2,3,0.6152529433503309
2228,406.17936132400064,4.694480000000004,0,5,79.53,2,3,0.616525942096559
2229,642.0752019840007,4.613700000000003,3,7,165.32000000000002,8,2,0.385632686420015
2230,644.0908520480008,4.861300000000004,3,7,165.32000000000002,8,2,0.3764208794897987
2231,438.18558957600067,5.142000000000005,0,5,79.53,2,3,0.5533485252779666
2234,662.0814302360009,4.809300000000004,3,7,165.32,8,2,0.34823018160186014
2235,644.0908520480009,4.861300000000004,3,7,165.32,8,2,0.3764208794897987
2236,438.18558957600067,5.142000000000006,0,5,79.53,2,3,0.5533485252779666
2238,700.0970803000009,5.609100000000005,2,7,154.32,8,2,0.3460814851492673
2239,655.0504644560008,4.9057800000000045,1,7,160.09000000000003,6,2,0.4415013921585263
2241,678.0563583600009,4.862100000000004,3,7,165.32,8,2,0.3422775038037444
2242,716.0668427920009,4.304000000000004,3,9,203.98000000000002,9,3,0.2756733374294693
2243,680.0720084240008,5.108100000000006,3,7,165.32000000000002,9,2,0.3160644596545674
2244,648.1266308400009,5.0030000000000046,3,7,165.32000000000002,12,2,0.27797162039298645
2245,634.0865156160007,5.493000000000006,3,7,148.25,9,2,0.31449279276571845
2246,740.0531648000008,5.449500000000005,2,7,156.53000000000003,6,2,0.38067974761256507
2247,473.2227033560008,3.4400800000000027,0,6,90.19,2,2,0.6638358135377028
