,IC50_nM
1419,1599.0
1420,164.0
1421,51.0
1422,172.0
1423,137.0
1424,120.0
1425,347.0
1426,53.0
1427,260.0
1428,461.0
1429,1100.0
1430,24.0
1431,25.0
1432,116.0
1433,140.0
1434,280.0
1435,57.0
1436,1700.0
1437,38.0
1438,188.0
1439,72.0
1440,227.0
1441,650.0
1442,59.0
1443,310.0
1444,2000.0
1445,135.0
1446,74.0
1447,1338.0
1448,3000.0
1449,1876.0
1450,162.0
1451,141.0
1452,398.0
1453,41.0
1454,66.0
1455,100.0
1456,360.0
1457,3373.0
1458,83.0
1459,132.0
1460,46.0
1461,270.0
1462,10000.0
1463,52.0
1464,93.0
1465,4300.0
1466,26.0
1467,710.0
1468,216.0
1469,81.0
1470,95.0
1471,3000.0
1472,307.0
1473,211.0
1474,158.0
1475,2543.0
1476,155.0
1477,71.0
1478,115.0
1479,109.0
1480,292.0
1481,120.0
1482,93.0
1483,1300.0
1484,405.0
1485,57.0
1486,4800.0
1487,457.0
1488,151.0
1489,1727.0
1490,317.0
1491,4621.0
1493,65.0
1494,10000.0
1495,41.0
1496,66.0
1497,2390.0
1498,39.0
1499,109.0
1500,184.0
1501,520.0
1502,31.0
1503,96.0
1504,231.0
1505,2156.0
1506,5200.0
1507,36.0
1508,720.0
1509,79.0
1510,233.0
1511,289.0
1512,75.0
1513,365.0
1514,116.0
1515,4000.0
1516,26.0
1517,195.0
1518,99.0
1519,240.0
1520,500.0
1521,147.0
1522,3904.0
1523,44.0
1524,33.0
1525,28.0
1526,20.0
1527,10000.0
1528,531.0
1529,500.0
1530,490.0
1531,170.0
1532,10000.0
1533,173.0
1534,114.0
1535,35.0
1536,54.0
1537,394.0
1538,880.0
1539,21.0
1540,48.0
1541,6400.0
1542,263.0
1543,1000.0
1544,59.0
1545,253.0
1546,31.0
1547,553.0
1548,150.0
1549,114.0
1550,133.0
1551,121.0
1552,1000.0
1553,67.0
1554,71.0
1555,4800.0
1556,560.0
1557,75.0
1558,69.0
1562,11.0
1563,110.0
1564,3.1
1565,190.0
1567,220.0
1570,110.0
1573,6000.0
1574,6000.0
1576,240.0
1579,25.0
1580,1900.0
1582,2000.0
1584,50.0
1586,310.0
1587,50.0
1588,4000.0
1590,1.9
1591,2700.0
1593,110.0
1594,2740.0
1595,120.0
1596,121.0
1597,331.0
1598,870.0
1599,1702.0
1600,47.0
1601,358.0
1602,81.0
1603,31.0
1604,58.0
1605,41.0
1606,68.0
1607,140.0
1608,144.0
1609,46.0
1610,150.0
1611,360.0
1612,1893.0
1613,60.0
1614,76.0
1615,133.0
1616,1860.0
1617,3900.0
1618,59.0
1619,10.0
1620,65.0
1621,1600.0
1622,32.0
1623,90.0
1624,951.0
1625,2524.0
1626,136.0
1627,80.0
1628,69.0
1629,117.0
1630,47.0
1631,240.0
1632,1819.0
1633,246.0
1634,2356.0
1635,4819.0
1636,36.0
1637,2054.0
1638,211.0
1639,60.0
1640,152.0
1641,514.0
1642,42.0
1643,292.0
1644,241.0
1645,311.0
1646,127.0
1647,1697.0
1648,3700.0
1649,76.0
1650,192.0
